_id,name,promoter,rbs,cds,terminator,vector,component
C001,P11-34-sGFP_A0,P11,RBS34,sGFP,B0015,1A0,circuit
C002,P11-34-mCherry_A0,P11,RBS34,mCherry,B0015,1A0,circuit
C003,P20-34-sGFP_A0,P20,RBS34,sGFP,B0015,1A0,circuit
C004,P20-34-mCherry_A0,P20,RBS34,mCherry,B0015,1A0,circuit
C005,P38-34-sGFP_A0,P38,RBS34,sGFP,B0015,1A0,circuit
C006,P38-34-mCherry_A0,P38,RBS34,mCherry,B0015,1A0,circuit
C007,pJ1-PBAD-E11-N_A1,PBAD,RBS33,E11-PhoRadA_N,B0015,1A1,circuit
C008,pJ1-PBAD-E20-N_A1,PBAD,RBS33,E20-gp411_N,B0015,1A1,circuit
C009,pJ1-PBAD-E38-N_A1,PBAD,RBS33,E38-gp418_N,B0015,1A1,circuit
C010,pJ1-PSalTTC-E20-N_C,PSalTTC,RBS33,E20-gp411_N,B0015,1C,circuit
C011,pJ1-PSalTTC-E38-N_C,PSalTTC,RBS33,E38-gp418_N,B0015,1C,circuit
C012,pJ1-PSalTTC-E11-N_C,PSalTTC,RBS33,E11-PhoRadA_N,B0015,1C,circuit
C013,pJ1-P11-E38-N_E0,P11,RBS33,E38-gp418_N,B0015,1E,circuit
C014,pJ1-P11-E20-N_E0,P11,RBS33,E20-gp411_N,B0015,1E,circuit
C015,pJ1-P20-E38-N_E0,P20,RBS33,E38-gp418_N,B0015,1E,circuit
C016,pJ1-P20-E11-N_E0,P20,RBS33,E11-PhoRadA_N,B0015,1E,circuit
C017,pJ1-P38-E20-N_E0,P38,RBS33,E20-gp411_N,B0015,1E,circuit
C018,pJ1-P38-E11-N_E0,P38,RBS33,E11-PhoRadA_N,B0015,1E,circuit
C019,pJ1-PCin-E11-C_B,PCin,RBS33,E11-PhoRadA_C,B0015,1B,circuit
C020,pJ1-PCin-E20-C_B,PCin,RBS33,E20-gp411_C,B0015,1B,circuit
C021,pJ1-PCin-E38-C_B,PCin,RBS33,E38-gp418_C,B0015,1B,circuit
C022,pJ1-PLuxB-E20-C_D0,PLuxB,RBS33,E20-gp411_C,B0015,1D0,circuit
C023,pJ1-PLuxB-E38-C_D0,PLuxB,RBS33,E38-gp418_C,B0015,1D0,circuit
C024,pJ1-PLuxB-E11-C_D0,PLuxB,RBS33,E11-PhoRadA_C,B0015,1D0,circuit
C025,pJ1-P20-E38-C_F,P20,RBS33,E38-gp418_C,B0015,1F,circuit
C026,pJ1-P38-E20-C_F,P38,RBS33,E20-gp411_C,B0015,1F,circuit
C027,pJ1-P11-E38-C_F,P11,RBS33,E38-gp418_C,B0015,1F,circuit
C028,pJ1-P38-E11-C_F,P38,RBS33,E11-PhoRadA_C,B0015,1F,circuit
C029,pJ1-P11-E20-C_F,P11,RBS33,E20-gp411_C,B0015,1F,circuit
C030,pJ1-P20-E11-C_F,P20,RBS33,E11-PhoRadA_C,B0015,1F,circuit
