_id,name,promoter,rbs,cds,terminator,vector,component
G001,P11-34-sGFP_A,P11,RBS34,sGFP,B0015,1A,gate
G002,P11-34-mCherry_A,P11,RBS34,mCherry,B0015,1A,gate
G003,P20-34-sGFP_A,P20,RBS34,sGFP,B0015,1A,gate
G004,P20-34-mCherry_A,P20,RBS34,mCherry,B0015,1A,gate
G005,P38-34-sGFP_A,P38,RBS34,sGFP,B0015,1A,gate
G006,P38-34-mCherry_A,P38,RBS34,mCherry,B0015,1A,gate
G007,pJ1-PBAD-E11-N_B,PBAD,RBS33,E11-PhoRadA_N,B0015,1B,gate
G008,pJ1-PBAD-E20-N_B,PBAD,RBS33,E20-gp411_N,B0015,1B,gate
G009,pJ1-PBAD-E38-N_B,PBAD,RBS33,E38-gp418_N,B0015,1B,gate
G010,pJ1-PCin-E11-C_C*,PCin,RBS33,E11-PhoRadA_C,B0015,1C*,gate
G011,pJ1-PCin-E20-C_C*,PCin,RBS33,E20-gp411_C,B0015,1C*,gate
G012,pJ1-PCin-E38-C_C*,PCin,RBS33,E38-gp418_C,B0015,1C*,gate
