id,short_name,full_name
A1,e11x32M86,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP1-P(Cym)-32-sM86
A2,e11x30STNpuSspS2,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP2-P(Cym)-30-(ST)sNpuSsp.S2
A3,e11x32NpuSspS2,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP2-P(Cym)-32-sNpuSsp.S2
A4,e11x30NpuSspS1,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP2-P(Cym)-30-sNpuSsp.S1
A5,e11x32gp411,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP3-P(Cym)-32-sgp41-1
A6,e11x30gp418,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP4-P(Cym)-30-sgp41-8
A7,e11x32gp418,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP4-P(Cym)-32-sgp41-8
A8,e11x32NrdJ1,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP5-P(Cym)-32-sNrdJ-1
A9,e11x33NrdJ1,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP5-P(Cym)-33-sNrdJ-1
A10,e11x30STIMPDH1,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP6-P(Cym)-30-(ST)sIMPDH-1
A11,e11x32STIMPDH1,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP6-P(Cym)-32-(ST)sIMPDH-1
A12,e11x30STsSspDnaX,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP7-P(Cym)-30-(ST)sSspDnaX
A13,e11x30SspGyrB,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP8-P(Cym)-30-sSspGyrB
A14,e11x30TerThyXS2,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP9-P(Cym)-30-sTerThyX.S2
A15,e11x30TerThyXS1,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP9-P(Cym)-30-sTerThyX.S1
A16,e11x30TvoVMA,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP10-P(Cym)-30-sTvoVMA
A17,e11x30STPhoRadA,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP11-P(Cym)-30-(ST)sPhoRadA
A18,e11x32STPhoRadA,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP11-P(Cym)-32-(ST)sPhoRadA
A19,e11x30CthTer,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP20-P(Cym)-30-sCth_Ter
A20,e11x32CthTer,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP20-P(Cym)-32-sCth_Ter
A21,e11x30MPMDnaB,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP27-P(Cym)-30-sMP-M_DnaB
A22,e11x30SaPdpol,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP29-P(Cym)-30-sSaP_dpol
A23,e11x32NrdA2,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP31-P(Cym)-32-sNrdA-2
A24,e11x33NrdA2,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP31-P(Cym)-33-sNrdA-2
A25,e11x30MjaKlbA,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP33-P(Cym)-30-sMja_KlbA
A26,e11x33MjaKlbA,3K3-P11*-gfp-B15-P(ara)-sECF11*-SP33-P(Cym)-33-sMja_KlbA
A27,e15x32M86,3K3-P15*-gfp-B15-P(ara)-sECF15*-SP1-P(Cym)-32-sM86
