index,e11x32STPhoRadA_00,e11x32STPhoRadA_01,e11x32STPhoRadA_10,e11x32STPhoRadA_11,e15x32NpuSspS2_00,e15x32NpuSspS2_01,e15x32NpuSspS2_10,e15x32NpuSspS2_11,e16x33NrdA2_00,e16x33NrdA2_01,e16x33NrdA2_10,e16x33NrdA2_11,e20x32gp411_00,e20x32gp411_01,e20x32gp411_10,e20x32gp411_11,e32x30SspGyrB_00,e32x30SspGyrB_01,e32x30SspGyrB_10,e32x30SspGyrB_11,e34x30MjaKlbA_00,e34x30MjaKlbA_01,e34x30MjaKlbA_10,e34x30MjaKlbA_11,e38x32gp418_00,e38x32gp418_01,e38x32gp418_10,e38x32gp418_11,e41x32NrdJ1_00,e41x32NrdJ1_01,e41x32NrdJ1_10,e41x32NrdJ1_11,e42x32STIMPDH1_00,e42x32STIMPDH1_01,e42x32STIMPDH1_10,e42x32STIMPDH1_11
0,-8.0,-73.0,-68.0,-47.0,-10.0,-114.0,-34.0,-48.0,-7.0,-26.0,-41.0,-1.0,-17.0,0.0,-13.0,2.0,41.0,-16.0,-1.0,9.0,70.0,-21.0,16.0,43.0,97.0,28.0,43.0,26.0,22.0,-13.0,30.0,24.0,44.0,9.0,14.0,58.0
20,26.0,68.0,36.0,68.0,43.0,-49.0,64.0,72.0,32.0,49.0,32.0,22.0,32.0,23.0,67.0,22.0,49.0,34.0,68.0,32.0,71.0,51.0,60.0,84.0,78.0,66.0,100.0,65.0,35.0,48.0,97.0,30.0,71.0,42.0,63.0,44.0
40,41.0,43.0,29.0,70.0,78.0,-33.0,43.0,13.0,44.0,47.0,15.0,42.0,26.0,53.0,37.0,16.0,56.0,18.0,3.0,16.0,64.0,22.0,53.0,72.0,71.0,52.0,63.0,49.0,46.0,34.0,54.0,7.0,79.0,61.0,35.0,47.0
60,30.0,37.0,46.0,49.0,16.0,-12.0,60.0,47.0,31.0,37.0,21.0,23.0,36.0,62.0,50.0,44.0,38.0,11.0,45.0,34.0,39.0,45.0,91.0,71.0,40.0,47.0,93.0,97.0,0.0,42.0,67.0,42.0,68.0,43.0,71.0,17.0
80,47.0,87.0,62.0,68.0,30.0,11.0,28.0,46.0,45.0,71.0,38.0,25.0,-2.0,59.0,64.0,30.0,34.0,48.0,46.0,62.0,72.0,70.0,60.0,94.0,85.0,89.0,109.0,86.0,42.0,58.0,62.0,30.0,91.0,98.0,56.0,58.0
100,89.0,49.0,31.0,95.0,91.0,-16.0,38.0,117.0,83.0,114.0,62.0,111.0,79.0,50.0,11.0,74.0,111.0,44.0,73.0,150.0,110.0,84.0,47.0,186.0,77.0,49.0,92.0,176.0,80.0,60.0,83.0,130.0,96.0,75.0,64.0,86.0
120,62.0,48.0,56.0,201.0,104.0,-10.0,69.0,170.0,53.0,87.0,95.0,141.0,57.0,110.0,98.0,186.0,98.0,64.0,83.0,533.0,69.0,72.0,120.0,333.0,98.0,67.0,136.0,328.0,80.0,80.0,92.0,208.0,87.0,65.0,97.0,87.0
140,110.0,93.0,89.0,496.0,173.0,9.0,144.0,311.0,145.0,122.0,166.0,272.0,122.0,68.0,104.0,405.0,161.0,121.0,130.0,1203.0,180.0,131.0,163.0,782.0,160.0,113.0,176.0,831.0,116.0,102.0,149.0,563.0,113.0,92.0,128.0,86.0
160,142.0,59.0,123.0,1265.0,189.0,34.0,172.0,937.0,189.0,137.0,159.0,890.0,130.0,92.0,165.0,1265.0,167.0,124.0,190.0,3173.0,223.0,130.0,195.0,1657.0,217.0,158.0,248.0,1818.0,187.0,159.0,188.0,2587.0,163.0,100.0,142.0,150.0
180,194.0,147.0,209.0,3575.0,299.0,45.0,291.0,1703.0,253.0,165.0,284.0,2814.0,173.0,135.0,236.0,3407.0,229.0,190.0,277.0,6994.0,284.0,226.0,328.0,3830.0,318.0,253.0,346.0,2897.0,287.0,210.0,296.0,6377.0,204.0,168.0,219.0,312.0
