index,e11x32STPhoRadA_00,e11x32STPhoRadA_01,e11x32STPhoRadA_10,e11x32STPhoRadA_11,e15x32NpuSspS2_00,e15x32NpuSspS2_01,e15x32NpuSspS2_10,e15x32NpuSspS2_11,e16x33NrdA2_00,e16x33NrdA2_01,e16x33NrdA2_10,e16x33NrdA2_11,e20x32gp411_00,e20x32gp411_01,e20x32gp411_10,e20x32gp411_11,e32x30SspGyrB_00,e32x30SspGyrB_01,e32x30SspGyrB_10,e32x30SspGyrB_11,e34x30MjaKlbA_00,e34x30MjaKlbA_01,e34x30MjaKlbA_10,e34x30MjaKlbA_11,e38x32gp418_00,e38x32gp418_01,e38x32gp418_10,e38x32gp418_11,e41x32NrdJ1_00,e41x32NrdJ1_01,e41x32NrdJ1_10,e41x32NrdJ1_11,e42x32STIMPDH1_00,e42x32STIMPDH1_01,e42x32STIMPDH1_10,e42x32STIMPDH1_11
0,0.038,0.026,0.016,0.012,0.037,0.012,0.021,0.012,0.028,0.02,0.023,0.046,0.027,0.019,0.011,0.006,0.029,0.049,0.018,0.012,0.024,0.02,0.016,0.007,0.055,0.021,0.016,0.028,0.029,0.032,0.173,0.027,0.027,0.023,0.036,0.008
20,0.033,0.023,0.021,0.023,0.03,0.01,0.019,0.021,0.027,0.018,0.025,0.029,0.026,0.017,0.028,0.019,0.029,0.025,0.018,0.022,0.026,0.022,0.019,0.013,0.022,0.021,0.02,0.023,0.026,0.029,0.128,0.022,0.022,0.019,0.051,0.015
40,0.033,0.024,0.025,0.027,0.034,0.012,0.022,0.026,0.028,0.02,0.028,0.031,0.032,0.018,0.024,0.024,0.031,0.024,0.022,0.025,0.029,0.023,0.022,0.019,0.026,0.025,0.024,0.024,0.027,0.031,0.109,0.027,0.026,0.02,0.053,0.019
60,0.043,0.033,0.032,0.031,0.048,0.018,0.033,0.035,0.038,0.03,0.033,0.038,0.034,0.029,0.03,0.028,0.041,0.035,0.027,0.034,0.035,0.031,0.029,0.023,0.035,0.038,0.035,0.034,0.095,0.04,0.089,0.033,0.07,0.121,0.057,0.025
80,0.056,0.048,0.046,0.046,0.109,0.028,0.05,0.058,0.056,0.048,0.051,0.054,0.05,0.041,0.04,0.042,0.058,0.051,0.047,0.052,0.051,0.057,0.052,0.04,0.056,0.055,0.054,0.054,0.058,0.06,0.079,0.056,0.046,0.04,0.069,0.033
100,0.089,0.074,0.071,0.075,0.125,0.047,0.089,0.098,0.158,0.084,0.08,0.084,0.081,0.074,0.073,0.077,0.093,0.083,0.08,0.089,0.086,0.084,0.075,0.071,0.102,0.103,0.097,0.096,0.098,0.102,0.089,0.09,0.074,0.067,0.085,0.052
120,0.134,0.125,0.122,0.116,0.28,0.084,0.159,0.164,0.158,0.147,0.144,0.14,0.132,0.124,0.126,0.12,0.153,0.147,0.139,0.139,0.145,0.148,0.122,0.113,0.177,0.177,0.17,0.16,0.169,0.172,0.147,0.141,0.154,0.118,0.119,0.079
140,0.225,0.207,0.191,0.191,0.315,0.14,0.26,0.261,0.254,0.241,0.235,0.233,0.218,0.207,0.218,0.2,0.25,0.238,0.233,0.222,0.245,0.242,0.199,0.189,0.359,0.344,0.276,0.254,0.394,0.275,0.245,0.233,0.213,0.197,0.168,0.135
160,0.312,0.288,0.286,0.273,0.429,0.237,0.356,0.339,0.344,0.384,0.445,0.308,0.306,0.337,0.355,0.29,0.333,0.307,0.322,0.301,0.334,0.37,0.292,0.278,0.379,0.471,0.419,0.333,0.377,0.363,0.333,0.302,0.3,0.277,0.243,0.203
180,0.413,0.363,0.376,0.334,0.559,0.305,0.477,0.412,0.55,0.595,0.447,0.388,0.498,0.427,0.41,0.356,0.486,0.447,0.498,0.374,0.449,0.388,0.418,0.342,0.493,0.534,0.494,0.406,0.493,0.416,0.446,0.373,0.517,0.357,0.311,0.26
200,0.518,0.432,0.472,0.398,0.715,0.451,0.623,0.484,0.625,0.64,0.574,0.452,0.596,0.421,0.512,0.42,0.65,0.445,0.542,0.435,0.666,0.52,0.491,0.398,0.706,0.624,0.682,0.486,0.664,0.58,0.566,0.435,0.503,0.422,0.406,0.338
